nom,prenom,email,sexe,nationalite,telephone,ects,date_admission,pays,ville,universite,entreprise,nouveau_universite,type_contrat,duree_contrat,activite,etude
Gaultiero,Cowan,gcowan0@wunderground.com,Male,Russia,+7 816 874 6438,52,8/4/2012,France,Paris,SUPINFO de Paris,,Volga State Academy of Water Transport,,,"'JPO','Salon etudiant','JoForum'",stop
Marlane,Grainge,mgrainge1@wired.com,Female,China,+86 293 882 6235,20,19/10/2014,Maurice,Port Louis,SUPINFO de Port Louis,AKKA,Huizhou University,Alternance,43,"'JPO','Salon etudiant','JoForum'",finish
Christophe,Libero,clibero2@cbslocal.com,Male,Portugal,+351 154 630 3026,54,17/3/2010,Cameroun,Yaoundé-Ngousso,SUPINFO de Yaoundé-Ngousso,MICHELIN,Instituto Politécnico da Guarda,Interim,3,"'JPO','Salon etudiant','JoForum'",finish
Bettye,Nugent,bnugent3@vkontakte.ru,Female,Croatia,+385 927 921 5338,16,5/2/2011,France,Grenoble,SUPINFO de Grenoble,RUEDUCOMMERCE,University of Zagreb,Alternance,28,"'JPO','Salon etudiant','JoForum'",continue
Cesaro,Walicki,cwalicki4@aboutads.info,Male,Poland,+48 418 922 0017,45,31/8/2011,France,Caen,SUPINFO de Caen,AFRIK-SOLUTION,Józef Tyszkiewicz College of Business and Computer Science in Bielsko-Biala,CDI,26,"'JPO','Salon etudiant','JoForum'",continue
Binnie,McQueen,bmcqueen5@dell.com,Female,Indonesia,+62 349 308 1419,17,7/11/2016,Italie,Rome,SUPINFO de Rome,ABYSTER,Universitas Nusa Cendana,CTT,69,"'JPO','Salon etudiant','JoForum'",continue
Giulio,Stripling,gstripling6@home.pl,Male,Cameroon,+237 487 654 9210,44,26/8/2010,Cameroun,Yaoundé-Ngousso,SUPINFO de Yaoundé-Ngousso,ENELCAM,Université de Yaoundé II,Alternance,64,"'JPO','Salon etudiant','JoForum'",stop
Garek,Roberto,groberto7@spiegel.de,Male,China,+86 206 385 7902,40,12/4/2015,France,Lyon,SUPINFO de Lyon,AMAZON,Hebei University of Science and Technology,CDI,66,"'JPO','Salon etudiant','JoForum'",finish
Marjy,Busson,mbusson8@scientificamerican.com,Female,Indonesia,+62 991 679 4133,16,10/9/2019,Italie,Rome,SUPINFO de Rome,HUAWEI,Universitas Lampung,CTT,23,"'JPO','Salon etudiant','JoForum'",stop
Roxanna,Tordoff,rtordoff9@stumbleupon.com,Female,China,+86 354 984 4514,30,30/4/2014,Reunion,Saint Denis,SUPINFO de Saint Denis,,Xi'an Academy of Fine Art,,,"'JPO','Salon etudiant','JoForum'",stop
Doug,Minot,dminota@dmoz.org,Male,Uruguay,+598 897 571 8356,60,22/12/2013,Belgique,Bruxelle,SUPINFO de Bruxelle,SAFRAM,Universidad de la República,CTT,10,"'JPO','Salon etudiant','JoForum'",stop
Blair,Howett,bhowettb@baidu.com,Female,France,+33 419 658 1947,65,19/11/2013,Belgique,Bruxelle,SUPINFO de Bruxelle,,Ecole Nationale Supérieure d'Ingénieurs en Mécanique et Energétique de Valenciennes,,,"'JPO','Salon etudiant','JoForum'",stop
Thor,Kleint,tkleintc@zimbio.com,Male,Brazil,+55 411 858 4310,32,10/12/2013,Chine,Pekin,SUPINFO de Pekin,GFI,Centro Universitário Adventista de São Paulo,CDI,11,"'JPO','Salon etudiant','JoForum'",continue
